imdb_id,poster_path,wiki_link,original_title,tag
tt0362057,https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/Pyaara_Dushman.jpg/220px-Pyaara_Dushman.jpg,https://en.wikipedia.org/wiki/Pyaara_Dushman,Pyaara Dushman,action rakeshroshan vidyasinha yogeetabali sarika kalpanaiyer shiva decid to give hi crimin life and marri a dancer seema.but hi past still haunt him forc him to take back the crimin life.
tt0156882,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Payal_Ki_Jhankaar.jpg/220px-Payal_Ki_Jhankaar.jpg,https://en.wikipedia.org/wiki/Payal_Ki_Jhankaar,Payal Ki Jhankaar,romance alankarjoshi roobini surinderkaur veena  shyama is an orphan young woman who live with her aunt uncl and sever cousin two of who are girl of marriag age. her passion is danc which is frown upon by her uncl ...
tt0246879,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Qurbani_poster.jpg/220px-Qurbani_poster.jpg,https://en.wikipedia.org/wiki/Qurbani_(1980_film),Qurbani,action crime drama ferozkhan vinodkhanna zeenataman amjadkhan kaderkhan a cabaret dancer and singer sheela (zeenat aman) ha two admirers: a small-tim thief rajesh (feroz khan) and a young elig widow amar (vinod khanna). both are best friend and ...
tt0358020,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Phirwohiraat.png/220px-Phirwohiraat.png,https://en.wikipedia.org/wiki/Phir_Wohi_Raat,Phir Wohi Raat,crime horror mystery rajeshkhanna kim arunairani tamanna shashikala dr. vijay is a psychiatrist and is in love with a beauti young woman name asha. he is stun when anoth doctor refer asha to him as asha ha been have hallucin and ...
tt0081401,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Ram_Balram.jpg/220px-Ram_Balram.jpg,https://en.wikipedia.org/wiki/Ram_Balram,Ram Balram,action comedy crime zeenataman rekha ajit premchopra sujitkumar ram and balram are 2 young boy who live with their love parents. their scheme uncl jagatp howev kill the boy' father and mother. jagatp lie to the boy that their parent ...
tt0156014,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Red_rose_1980.jpg/220px-Red_rose_1980.jpg,https://en.wikipedia.org/wiki/Red_Rose_(1980_film),Red Rose,crime romance thriller rajeshkhanna poonamdhillon arunairani omshivpuri satyendrakapoor anand live a wealthi lifestyl in bombay in a palati hous and run a busi 'export india'. while shop at roopsagar cloth store he meet one of the sale clerks' sharda and...
tt0253618,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Sabootfilm80.jpg/220px-Sabootfilm80.jpg,https://en.wikipedia.org/wiki/Saboot,Saboot,thriller navinnischol vidyasinha kaajalkiran omshivpuri premchopra dharamda is kill by dhanraj and hi man later one by one dharamda killer are kill but it put question to everyon as whose behind all thi killings?
tt0400830,https://upload.wikimedia.org/wikipedia/en/3/3c/Sitaramithun.jpg,https://en.wikipedia.org/wiki/Sitara_(1980_film),Sitara,drama family mithunchakraborty zarinawahab kanhaiyalalchaturvedi agha dineshthakur dhaniya and kundan are childhood sweetheart and hope to marri onc they have attain maturity. dhaniya would like to have some money in her possess befor she marri so they decid ...
tt0079938,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Sparsh%2C_1980_Hindi_film.jpg/220px-Sparsh%2C_1980_Hindi_film.jpg,https://en.wikipedia.org/wiki/Sparsh_(film),Sparsh,drama romance shabanaazmi naseeruddinshah sudhachopra mohangokhale prantalwar anirudh parmar is blind but he doe not let thi impair bind him down. he run a school for the blind as a principal. he meet with social worker kavita. kavita is attract to him ...
tt0081491,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Shaan_film_poster.jpg/220px-Shaan_film_poster.jpg,https://en.wikipedia.org/wiki/Shaan_(film),Shaan,action adventure crime sunildutt shashikapoor amitabhbachchan shatrughansinha rakheegulzar two brother go after the intern mafia kingpin who murder their cop brother. they are later join by anoth man who want reveng against the gangster.
tt0358108, ,https://en.wikipedia.org/wiki/Sau_Din_Saas_Ke,Sau Din Saas Ke,drama ashokkumar rajbabbar reenaroy ashaparekh lalitapawar widow bhavanidevi rule her palati home with an iron hand. noth is permit to be touch or move without her permiss and approval. she ha two son and one daughter. she dotes...
